client_id,round_number,hierarchy,num_samples,bytes_written,bytes_read,local_computations
26,0,,69,69706,69706,0
25,0,,69,69706,69706,0
15,0,,69,69706,69706,0
33,0,,69,69706,69706,0
28,0,,69,69706,69706,0
19,0,,69,69706,69706,0
6,0,,69,69706,69706,0
34,0,,69,69706,69706,0
27,0,,69,69706,69706,0
21,0,,69,69706,69706,0
1,0,,69,69706,69706,0
7,0,,69,69706,69706,0
12,0,,68,69706,69706,0
32,0,,69,69706,69706,0
16,0,,69,69706,69706,0
13,0,,69,69706,69706,0
29,0,,69,69706,69706,0
18,0,,69,69706,69706,0
2,0,,69,69706,69706,0
23,0,,69,69706,69706,0
5,0,,69,69706,69706,0
0,0,,69,69706,69706,0
31,0,,69,69706,69706,0
4,0,,69,69706,69706,0
14,0,,69,69706,69706,0
8,0,,69,69706,69706,0
24,0,,69,69706,69706,0
22,0,,69,69706,69706,0
30,0,,69,69706,69706,0
20,0,,69,69706,69706,0
3,0,,69,69706,69706,0
17,0,,69,69706,69706,0
10,0,,69,69706,69706,0
11,0,,69,69706,69706,0
9,0,,69,69706,69706,0
10,1,,69,69706,69706,0
17,1,,69,69706,69706,0
22,1,,69,69706,69706,0
28,1,,69,69706,69706,0
5,1,,69,69706,69706,0
0,1,,69,69706,69706,0
33,1,,69,69706,69706,0
23,1,,69,69706,69706,0
24,1,,69,69706,69706,0
27,1,,69,69706,69706,0
8,1,,69,69706,69706,0
11,1,,69,69706,69706,0
15,1,,69,69706,69706,0
34,1,,69,69706,69706,0
29,1,,69,69706,69706,0
31,1,,69,69706,69706,0
6,1,,69,69706,69706,0
3,1,,69,69706,69706,0
9,1,,69,69706,69706,0
26,1,,69,69706,69706,0
7,1,,69,69706,69706,0
14,1,,69,69706,69706,0
25,1,,69,69706,69706,0
2,1,,69,69706,69706,0
21,1,,69,69706,69706,0
19,1,,69,69706,69706,0
12,1,,68,69706,69706,0
4,1,,69,69706,69706,0
32,1,,69,69706,69706,0
13,1,,69,69706,69706,0
16,1,,69,69706,69706,0
18,1,,69,69706,69706,0
20,1,,69,69706,69706,0
30,1,,69,69706,69706,0
1,1,,69,69706,69706,0
10,1,,69,69706,69706,0
17,1,,69,69706,69706,0
22,1,,69,69706,69706,0
28,1,,69,69706,69706,0
5,1,,69,69706,69706,0
0,1,,69,69706,69706,0
33,1,,69,69706,69706,0
23,1,,69,69706,69706,0
24,1,,69,69706,69706,0
27,1,,69,69706,69706,0
8,1,,69,69706,69706,0
11,1,,69,69706,69706,0
15,1,,69,69706,69706,0
34,1,,69,69706,69706,0
29,1,,69,69706,69706,0
31,1,,69,69706,69706,0
6,1,,69,69706,69706,0
3,1,,69,69706,69706,0
9,1,,69,69706,69706,0
26,1,,69,69706,69706,0
7,1,,69,69706,69706,0
14,1,,69,69706,69706,0
25,1,,69,69706,69706,0
2,1,,69,69706,69706,0
21,1,,69,69706,69706,0
19,1,,69,69706,69706,0
12,1,,68,69706,69706,0
4,1,,69,69706,69706,0
32,1,,69,69706,69706,0
13,1,,69,69706,69706,0
16,1,,69,69706,69706,0
18,1,,69,69706,69706,0
20,1,,69,69706,69706,0
30,1,,69,69706,69706,0
1,1,,69,69706,69706,0
10,1,,69,69706,69706,0
17,1,,69,69706,69706,0
22,1,,69,69706,69706,0
28,1,,69,69706,69706,0
5,1,,69,69706,69706,0
0,1,,69,69706,69706,0
33,1,,69,69706,69706,0
23,1,,69,69706,69706,0
24,1,,69,69706,69706,0
27,1,,69,69706,69706,0
8,1,,69,69706,69706,0
11,1,,69,69706,69706,0
15,1,,69,69706,69706,0
34,1,,69,69706,69706,0
29,1,,69,69706,69706,0
31,1,,69,69706,69706,0
6,1,,69,69706,69706,0
3,1,,69,69706,69706,0
9,1,,69,69706,69706,0
26,1,,69,69706,69706,0
7,1,,69,69706,69706,0
14,1,,69,69706,69706,0
25,1,,69,69706,69706,0
2,1,,69,69706,69706,0
21,1,,69,69706,69706,0
19,1,,69,69706,69706,0
12,1,,68,69706,69706,0
4,1,,69,69706,69706,0
32,1,,69,69706,69706,0
13,1,,69,69706,69706,0
16,1,,69,69706,69706,0
18,1,,69,69706,69706,0
20,1,,69,69706,69706,0
30,1,,69,69706,69706,0
1,1,,69,69706,69706,0
10,1,,69,69706,69706,0
17,1,,69,69706,69706,0
22,1,,69,69706,69706,0
28,1,,69,69706,69706,0
5,1,,69,69706,69706,0
0,1,,69,69706,69706,0
33,1,,69,69706,69706,0
23,1,,69,69706,69706,0
24,1,,69,69706,69706,0
27,1,,69,69706,69706,0
8,1,,69,69706,69706,0
11,1,,69,69706,69706,0
15,1,,69,69706,69706,0
34,1,,69,69706,69706,0
29,1,,69,69706,69706,0
31,1,,69,69706,69706,0
6,1,,69,69706,69706,0
3,1,,69,69706,69706,0
9,1,,69,69706,69706,0
26,1,,69,69706,69706,0
7,1,,69,69706,69706,0
14,1,,69,69706,69706,0
25,1,,69,69706,69706,0
2,1,,69,69706,69706,0
21,1,,69,69706,69706,0
19,1,,69,69706,69706,0
12,1,,68,69706,69706,0
4,1,,69,69706,69706,0
32,1,,69,69706,69706,0
13,1,,69,69706,69706,0
16,1,,69,69706,69706,0
18,1,,69,69706,69706,0
20,1,,69,69706,69706,0
30,1,,69,69706,69706,0
1,1,,69,69706,69706,0
32,2,,69,69706,69706,0
18,2,,69,69706,69706,0
12,2,,68,69706,69706,0
9,2,,69,69706,69706,0
8,2,,69,69706,69706,0
3,2,,69,69706,69706,0
25,2,,69,69706,69706,0
28,2,,69,69706,69706,0
0,2,,69,69706,69706,0
27,2,,69,69706,69706,0
29,2,,69,69706,69706,0
10,2,,69,69706,69706,0
14,2,,69,69706,69706,0
21,2,,69,69706,69706,0
5,2,,69,69706,69706,0
15,2,,69,69706,69706,0
34,2,,69,69706,69706,0
16,2,,69,69706,69706,0
19,2,,69,69706,69706,0
30,2,,69,69706,69706,0
26,2,,69,69706,69706,0
2,2,,69,69706,69706,0
17,2,,69,69706,69706,0
